file_name,WS,Ag,A80,Rp0.2,Rm,s,u,SB,SW,SR,MR,KEA,GSA,BFA,Grat
DC03_05mm_u10_SB010_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.1,45,0.02,0.02,13.33,59.26,27.41,3.7
DC03_05mm_u10_SB010_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.1,45,0.035,0.02,13.33,62.22,24.44,2.96
DC03_05mm_u10_SB010_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.1,45,0.05,0.02,13.33,69.63,17.04,2.22
DC03_05mm_u10_SB010_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.1,55,0.02,0.02,11.85,69.63,18.52,2.22
DC03_05mm_u10_SB010_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.1,55,0.035,0.02,12.59,67.41,20.0,3.7
DC03_05mm_u10_SB010_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.1,55,0.05,0.02,12.5,68.38,19.12,5.15
DC03_05mm_u10_SB010_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.1,65,0.02,0.02,11.11,71.85,17.04,3.7
DC03_05mm_u10_SB010_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.1,65,0.035,0.02,11.03,72.79,16.18,0.74
DC03_05mm_u10_SB010_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.1,65,0.05,0.02,11.85,76.3,11.85,2.22
DC03_05mm_u10_SB010_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.1,75,0.02,0.02,9.63,72.59,17.78,1.48
DC03_05mm_u10_SB010_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.1,75,0.035,0.02,10.37,78.52,11.11,1.48
DC03_05mm_u10_SB010_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.1,75,0.05,0.02,10.37,80.0,9.63,2.96
DC03_05mm_u10_SB020_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.2,45,0.02,0.02,15.56,59.26,25.19,2.22
DC03_05mm_u10_SB020_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.2,45,0.035,0.02,15.56,62.22,22.22,2.96
DC03_05mm_u10_SB020_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.2,45,0.05,0.02,16.18,63.97,19.85,0.74
DC03_05mm_u10_SB020_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.2,55,0.02,0.02,15.56,60.74,23.7,2.22
DC03_05mm_u10_SB020_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.2,55,0.035,0.02,15.56,61.48,22.96,5.19
DC03_05mm_u10_SB020_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.2,55,0.05,0.02,15.56,59.26,25.19,1.48
DC03_05mm_u10_SB020_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.2,65,0.02,0.02,15.56,62.96,21.48,3.7
DC03_05mm_u10_SB020_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.2,65,0.035,0.02,15.56,65.93,18.52,2.22
DC03_05mm_u10_SB020_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.2,65,0.05,0.02,15.56,65.19,19.26,2.22
DC03_05mm_u10_SB020_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.2,75,0.02,0.02,15.56,70.37,14.07,1.48
DC03_05mm_u10_SB020_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.2,75,0.035,0.02,15.56,65.19,19.26,2.22
DC03_05mm_u10_SB020_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.2,75,0.05,0.02,15.56,64.44,20.0,2.22
DC03_05mm_u10_SB030_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.3,45,0.02,0.02,16.91,52.94,30.15,2.94
DC03_05mm_u10_SB030_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.3,45,0.035,0.02,16.91,56.62,26.47,0.74
DC03_05mm_u10_SB030_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.3,45,0.05,0.02,17.04,64.44,18.52,2.22
DC03_05mm_u10_SB030_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.3,55,0.02,0.02,16.3,53.33,30.37,2.22
DC03_05mm_u10_SB030_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.3,55,0.035,0.02,17.04,59.26,23.7,2.22
DC03_05mm_u10_SB030_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.3,55,0.05,0.02,17.04,62.96,20.0,3.7
DC03_05mm_u10_SB030_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.3,65,0.02,0.02,16.3,49.63,34.07,2.22
DC03_05mm_u10_SB030_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.3,65,0.035,0.02,16.3,54.07,29.63,0.74
DC03_05mm_u10_SB030_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.3,65,0.05,0.02,17.04,54.07,28.89,3.7
DC03_05mm_u10_SB030_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.3,75,0.02,0.02,16.3,68.89,14.81,9.63
DC03_05mm_u10_SB030_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.3,75,0.035,0.02,16.91,58.09,25.0,2.94
DC03_05mm_u10_SB030_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.3,75,0.05,0.02,17.65,60.29,22.06,1.47
DC03_05mm_u10_SB040_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.4,45,0.02,0.02,17.04,52.59,30.37,2.22
DC03_05mm_u10_SB040_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.4,45,0.035,0.02,17.04,55.56,27.41,0.74
DC03_05mm_u10_SB040_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.4,45,0.05,0.02,17.78,59.26,22.96,3.7
DC03_05mm_u10_SB040_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.4,55,0.02,0.02,17.04,55.56,27.41,2.22
DC03_05mm_u10_SB040_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.4,55,0.035,0.02,17.78,50.37,31.85,5.93
DC03_05mm_u10_SB040_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.4,55,0.05,0.02,18.38,61.03,20.59,11.03
DC03_05mm_u10_SB040_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.4,65,0.02,0.02,16.3,55.56,28.15,2.22
DC03_05mm_u10_SB040_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.4,65,0.035,0.02,16.91,59.56,23.53,5.15
DC03_05mm_u10_SB040_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.4,65,0.05,0.02,17.78,60.74,21.48,3.7
DC03_05mm_u10_SB040_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.4,75,0.02,0.02,16.91,47.79,35.29,1.47
DC03_05mm_u10_SB040_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.4,75,0.035,0.02,17.65,51.47,30.88,6.62
DC03_05mm_u10_SB040_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.4,75,0.05,0.02,17.78,57.04,25.19,1.48
DC03_05mm_u10_SB050_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.5,45,0.02,0.02,17.04,54.07,28.89,4.44
DC03_05mm_u10_SB050_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.5,45,0.035,0.02,17.04,56.3,26.67,2.22
DC03_05mm_u10_SB050_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.5,45,0.05,0.02,17.78,58.52,23.7,3.7
DC03_05mm_u10_SB050_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.5,55,0.02,0.02,17.04,51.11,31.85,3.7
DC03_05mm_u10_SB050_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.5,55,0.035,0.02,17.04,57.78,25.19,5.93
DC03_05mm_u10_SB050_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.5,55,0.05,0.02,17.78,56.3,25.93,1.48
DC03_05mm_u10_SB050_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.5,65,0.02,0.02,17.04,50.37,32.59,3.7
DC03_05mm_u10_SB050_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.5,65,0.035,0.02,17.04,57.04,25.93,3.7
DC03_05mm_u10_SB050_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.5,65,0.05,0.02,18.38,57.35,24.26,9.56
DC03_05mm_u10_SB050_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.5,75,0.02,0.02,17.04,51.11,31.85,2.22
DC03_05mm_u10_SB050_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,10,0.5,75,0.035,0.02,17.04,56.3,26.67,3.7
DC03_05mm_u10_SB050_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,10,0.5,75,0.05,0.02,17.78,62.22,20.0,2.22
DC03_05mm_u15_SB010_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.1,45,0.02,0.02,16.3,51.85,31.85,8.15
DC03_05mm_u15_SB010_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,15,0.1,45,0.035,0.02,17.04,61.48,21.48,6.67
DC03_05mm_u15_SB010_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.1,45,0.05,0.02,17.04,58.52,24.44,3.7
DC03_05mm_u15_SB010_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.1,55,0.02,0.02,14.71,64.71,20.59,2.21
DC03_05mm_u15_SB010_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,15,0.1,55,0.035,0.02,14.81,64.44,20.74,5.19
DC03_05mm_u15_SB010_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.1,55,0.05,0.02,15.44,64.71,19.85,3.68
DC03_05mm_u15_SB010_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.1,65,0.02,0.02,13.33,69.63,17.04,3.7
DC03_05mm_u15_SB010_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,15,0.1,65,0.035,0.02,13.33,70.37,16.3,2.22
DC03_05mm_u15_SB010_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.1,65,0.05,0.02,14.07,71.85,14.07,4.44
DC03_05mm_u15_SB010_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.1,75,0.02,0.02,11.85,70.37,17.78,2.22
DC03_05mm_u15_SB010_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,15,0.1,75,0.035,0.02,12.59,72.59,14.81,3.7
DC03_05mm_u15_SB010_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.1,75,0.05,0.02,13.33,72.59,14.07,3.7
DC03_05mm_u15_SB020_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.2,45,0.02,0.02,19.85,60.29,19.85,1.47
DC03_05mm_u15_SB020_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,15,0.2,45,0.035,0.02,20.59,50.0,29.41,2.94
